text,is_hate_1,is_toxic_1,is_offensive_1,is_hate_2,is_toxic_2,is_offensive_2,is_hate_3,is_toxic_3,is_offensive_3,is_hate_4,is_toxic_4,is_offensive_4,is_hate_5,is_toxic_5,is_offensive_5,is_hate_6,is_toxic_6,is_offensive_6
"Stop drawing false, irrational &amp; idiotic equivalencies between EFF &amp; AWB; Sharpeville, Marikana &amp; Senekal; &amp; desperation induced community mob justice. Your perceived need to make truths digestible applying them transferably perverts truth &amp; undermines history, issues &amp; intellect",0,0,0,0,0,0,0,1,0,,,,0,0,0,0,0,0
"Can drones do deliveries already and replace all these foreigners while we're in the process of deporting all of them coz being a driver and to ride a scooter will never be a scarce skill

#PutSouthAfricansFirst <URL>",0,1,0,0,1,1,1,1,1,,,,0,1,0,0,1,0
"@user Should they not march to Luthuli house? Challenge @user that enables their misery?
Owhh wait #Luthuli House, is empty! 

The ANC staff already in the street protesting for their pound of flesh!

Next best- where does #cyrilramaphosa stay? #OperationDudula <URL>",0,0,0,1,1,1,0,1,0,,,,0,0,0,0,0,0
"@user Our statement:

<URL>",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
Why the killing of white farmer Brendin Horner matters in South Africa’s racialised political landscape <URL> via @user,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"Old apartheid flag should havebe banned a decade ago, it was a disgrace for South Africa, for Africa #The Garvey Light not street light, should be the flag across, #OldFlag",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"@user @user @user @user @user @user You are missing the point and many people like you do,( supporters) no one is whining about an irrelevant party that is the EFF,  (they will get nowhere in politics) we are just pointing out the hypocrisy and blatantly ridiculous diatribe of failed socialist ideas",0,1,1,0,1,0,0,1,1,,,,0,1,0,0,0,0
"@user @user Uligwala maan lomfo. Even lento ka Naledi Bendizakuthi hope affairs probe parent zange a legally or illegal. If zangena illegally, thathe la citizenship yakhe Naledi ahambe.
That one utya nje imali nge EFF. No Juju uyambona qha akufuni abantu bathi sasitshilo amsuse parliament.",0,1,0,0,1,1,0,1,1,,,,0,0,1,0,0,0
@user Mashaba you never talk about the Phoenix massacre you are to carefully when it comes to the Indians and the white foreigners,0,1,0,0,1,0,0,1,1,,,,0,0,0,0,1,0
"Julius Malema wants to hijack our #PutSouthAficansFirst project 👀 targeting and visiting hospitality industry for hiring illegal immigrants, he must rest we got this. they messed up #FeesMustFall movement.",0,0,0,0,1,0,0,1,1,,,,0,1,0,0,0,0
@user Tell me what I got wrong.,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"FeesMustFall

The is nothing painful than studying 4/5 years thinking your are trying to better your situation, but only to find out you won't be able to receive that piece of paper that you worked hard for. 

#Unemployment #RiseBlackChild  #FeesMustFall  #UnemployedGraduate <URL>",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
@user @user They are ghost's 👻👻👻  #PutSouthAfricanFirst  illegal foreigners,0,0,0,0,1,0,0,1,1,,,,0,0,1,0,0,0
@user What about Palestine,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"@user @user @user @user Our beloved President landed in jail for contempt of court yet no one from Vodacom is held liable for contempt of court order…..

What a mess this country is",0,1,0,0,0,0,0,1,0,,,,0,0,0,0,0,0
"Fashion sneakers
Size 34-44
Ksh 2500
💻Online based

For order Click 👉 <URL> 📞0706570452

💥We offer delivery within Nairobi and country wide 
#FeesMustFall NHIF kiambaa Kitengela #LGEidSale sifuna <URL>",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
years and years RETards have peddled this lie that  Ramaphosa is to blame for #MarikanaMassacre. now they are adding #PhoenixMassacre on his name as well whilst shielding their master. yet we all know that Zuma is at the center of both tragedies that happened in post 94 SA.,0,1,1,0,1,1,0,1,1,,,,0,1,1,0,0,0
@user @user @user They are not part of #PutSouthAfricansFirst  organization but they are part of South Africans,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"@user Good project Very good
@user @user @user",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"@user @user Because residents defended it, only those that live their experienced the terror of wave after wave of attacks from numerous quarters  and daily threats. 
All business saved is what's providing for all now",0,1,0,0,1,0,0,0,0,,,,0,1,0,0,0,0
"’’I heard a voice saying you can’t beat her the media is here, she’s a woman. He replied, ’she is nothing to me, she is k**’.

‘i just can’t believe a man beat me up’ – EFF’s Sibongile Nkasayi seeks justice after Brackenfell attack
 <URL>",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
Y’all preaching fake unity but there’s not even unity in the “official” song of the springboks #superiorlogic #ndlozi #Springboks #SiyaKolisi <URL>,0,0,0,0,0,0,0,0,0,,,,0,1,0,0,0,0
"Pinky your master is talking about open borders, your tweet is in contrast with your cult leader. What you saw is the tip of iceberg, due to illegal migrants in this country. #PutSouthAfricansFirst <URL>",0,0,0,0,1,1,0,1,1,,,,0,1,0,0,1,0
"@user ... These #PutSouthAfricansFirst sentiments really aren’t that different from #MakeAmericaGreatAgain views. No one is saying don’t fight for your country, but to deny that xenophobia exists in this country and is a prevalent issue is just plain denialism...",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
"To Men:
It is Ok to grieve
It is Ok to cry
It is Ok to lose
It is Ok to be single
It is Ok to not be able to provide
It is Ok to let go
It is Ok to start afresh
It is Ok to not have no plan
It is Ok to ask for help

It is not Ok to give up. 
#TwerkForPhume #MyfellowSouthafricans",0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
@user @user @user @user Exploitation must end✊🏾✊🏾,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
@user @user @user You had no problem with the presidency letterhead,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
@user @user @user @user That’s how President works ! You can’t be rude nje! He must please everyone as it was done even before him. As long as he leads anc 🤣🤣🤣🤣🤣,0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0
