text,is_hate_1,is_toxic_1,is_offensive_1,is_hate_2,is_toxic_2,is_offensive_2,is_hate_3,is_toxic_3,is_offensive_3,is_hate_4,is_toxic_4,is_offensive_4,is_hate_5,is_toxic_5,is_offensive_5,is_hate_6,is_toxic_6,is_offensive_6
"We have a very stubborn foreigner problem in SA, rude, criminal, unrepentant and unwilling to go back home, we must employ stubborn solutions to push them out #PutSouthAfricansFirst",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
@user @user @user Wena sphukuphuku Malema says if Zimbabweans are on their own they are exploited. There must be locals to keep guard. He is protecting Zimbabweans still. Also whites are using it to fuel xenophobia by employing Zimbabweans only. But idiots won't get it.,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1
"@user @user n @user why are u protecting those foreigners in Hillbrow this much? Mafakaz beat yall nd couldn't retaliate this other year, are yall on the payroll frm these cunts? You claim to do the  #BuyaMthetho shit bt fail #PutSouthAfricaFirst #PutSouthAfricansFirst",0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1
@user @user @user @user @user @user @user @user @user @user @user We are getting kicked out of our country,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
It broke my heart seeing my former classmate on drugs that he got from foreigners when we report them to SAPS the next thing you get threatened. In our own country getting threads from foreigners it's time we got together as SA youth #PutSouthAfricansFirst,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1
@user @user It's #PutSouthAfricansFirst... #PutSACitizensFirst... #PutSouthAfricaFirst... It's All over.,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
@user Africans are not the only immigrants. Our focus is in all illegal immigrants who disregard the laws of South Africa. It just so happens that our fellow brothers and sisters are often implicated in criminality #OperationDudula #PutSouthAfricaFirst,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0
"Armed group attacked police station, killed 2 officers, in #Sokoto state, NW #Nigeria yesterday 17 Sept. Police say about 100 gunmen in army camouflage stormed Gidan Madi station in #Tangaza LGA by 1.30 am, shot DPO &amp; Inspector dead. Attackers also reportedly made away with guns. <URL>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
@user But they didn't lay criminal charges against the Boers in Senekal. We saw what they did. Why can't somebody then press charges against them ? Instead clever blacks are on eff's case. Darkie,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
"@user @user @user @user @user @user @user Going through comments of those who hate foreigners and them try to pin this on them, SAns are the biggest drug dealers, Nigerians are noice makers, no drug come into SA without SA drug dealers approval",0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0
#apartheidflag black people stop complaining you were given freedom of movement and you celebrated whites owns everything in this country you are just a servant,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
"#PutSouthAfricaFirst #PutSouthAficansFirst #OperationDudula. How did we get here, our people giving ID's to foreign criminals to destroy our country? <URL>",0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1
"We Don't Run A Banana Republic Here. Foreigners Must Go Home And Build Their Countries.Our Schools Are Populated .Clinics. Towns. Jobs. Hospitals. But The Likes Of #Malema Dont See That. #PutSouthAfricaFirst #MayibuyiSouthAfrica
#COVID19 <URL>",0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1
"@user @user @user @user #PutSouthAfricansFirst 
Empower communities to govern themselves.
Foreigners go back to your own countries.",0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1
@user @user @user @user Guys mpumalanga is no longer SAn. Eswatini and Mozambicans. Those tsongas there are foreigners. It's a mess,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1
"They call us Xenophobic, but foreigners and illegal aliens from Lesotho think the #PhoenixMassacre was a joke. How can you joke about death. #PutSouthAficansFirst <URL>",0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1
"@user That  is  why  as  #PutSouthAfricansFirst   movement, we have  been calling  for  the  deportation  of  all  foreigners. Go  to  your  damn  countries  n  fight  your  Battle's. Y'all  have overstayed  in  South Africa,Zimbabwe  is not gonna fix  itself.We want our country back",0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1
@user JHB back in the days. This is how you and your black friends has fucked up SA in 25 years!!! Well done <URL>,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1
"@user @user Not until the masses know about it. Right now what they know is that there are no jobs because Zimbabwens, Nigerians etc",0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0
"We must work hard to remove @user EFF (Juju's Spaza shop) and  @user terrorists from Parliament.They unleashed foreign savages, murderers, &amp; human-traffickers on the poor &amp; unsuspecting SAns. #DUDULA #OperationDudula #DeportForeigners  #June16 #VoetsekANC #VoetsekEFF <URL>",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1
Normalise Protecting your country against foreigners who want to destroy it #PutSouthAfricansFirst,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1
"@user Who said uber is for White Business 
You can also buy a Bus and Join Uber <URL>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#WeSeeYou #VoetsekANC @user #VoetsekEFF @user #VoteThemAllOut cause they haven't responded to #PutSouthAfricansFirst by at least #CloseBeitbridgeBorder they opress still the people of #Xolobeni #ANC109 yama💩 #ANCMustFall <URL>,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1
"#OperationDudula should continue until we're heard and listened to that we don't need foreigners especially the illegal ones in our country, they must leave once and for all. ""SOUTH AFRICA for South Africans unless we invited you",0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1
"@user Mashaba i support you 100% all foreigners must be documented if not they must leave our country, door to door is needed in Alex, Oliven, Cosmo, Diepsloot, Tembisa, Soweto etc",0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0
@user Let them open the posts. We have plenty of uneducated teachers. Let those foreigners go to their countries. All the 7 other provinces must do the right thing..,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1
"@user There is mfs here thinking they own SA. A sovereign nation whose money and wealth is in the hands of foreigners posing as tourists and investors but cause fellow Africans are black, they are labelled kwerekwere. To be crazy is to look in the mirror and hate yourself...",0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
Bittersweet Eid as Palestine is ravaged <URL>,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"I feel nothing for nigerians as I m not buying drugs from them.I feel nothing for Nigerians because I m against human trafficking. I feel nothing for zims,because I discourage illegal immigrants   #PutSouthAfricaFirst",0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1
You are obviously a foreigner yourself. You should be packing preparing to go back to your country to fix it &amp;stop fighting to be in SA @user &amp; @user are giving you false hope. They will never be in power forget it #PutSouthAfricaFirst #ForeignersMustleaveSA <URL>,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1
"The ANC one, ATM, SAF and ACTION SA are nowhere to be seen. It's clear  that the #PutSouthAfricaFirst brigade doesn't have numbers, while on the other hand the EFF keeps growing! #IStandWithEFF #EFFMustRise <URL> <URL>",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
